property_id,property_name,property,property_subtotal,avg_sqft,avg_advertised_rate,units,excluded_unit_count,rentable_unit_count,avg_scheduled_rent,occupied_count,started_new_count_prior,started_new_count,started_renewal_count_prior,started_renewal_count,started_count_prior,started_count,started_percent,partially_completed_new_count_prior,partially_completed_new_count,partially_completed_renewal_count_prior,partially_completed_renewal_count,partially_completed_count_prior,partially_completed_count,partially_completed_percent,completed_new_count_prior,completed_new_count,completed_renewal_count_prior,completed_renewal_count,completed_count_prior,completed_count,completed_percent,approved_new_count_prior,approved_new_count,approved_renewal_count_prior,approved_renewal_count,approved_count_prior,approved_count,approved_percent,preleased_new_count_prior,preleased_new_count,preleased_renewal_count_prior,preleased_renewal_count,preleased_count_prior,preleased_count,preleased_percent_prior,preleased_percent,variance,available_count,scheduled_rent_total
739085,1047 Commonwealth Avenue,1047 Commonwealth Avenue,1047 Commonwealth Avenue,347.5245901639344,2805.75641025641,183,0,183,2804.3141025641025,151,0,0,0,0,0,0,0,0,1,0,0,0,1,0.00546448087431694,0,0,0,0,0,0,0,102,85,80,71,182,156,0.8524590163934426,102,85,80,71,182,156,0.994535519125683,0.8524590163934426,-0.14207650273224048,27,437473
739084,908 S. 1st,908 S. 1st,908 S. 1st,365.6979166666667,1020.8762886597938,96,0,96,1042.5257731958764,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.010416666666666666,81,62,16,34,97,96,1,81,63,16,34,97,97,1.0104166666666667,1.0104166666666667,0,-1,101125
641240,Academy 65,Academy 65,Academy 65,274.62459546925567,1308.6569579288025,309,0,309,935.5645307443366,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.003236245954692557,145,187,141,121,286,308,0.9967637540453075,145,188,141,121,286,309,0.9255663430420712,1,0.0744336569579288,0,289089.44
676055,Academy Lincoln,Academy Lincoln,Academy Lincoln,322.4810126582278,710.0047770700637,632,0,632,730.6640127388536,626,0,1,0,0,0,1,0.0015822784810126582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,389,171,238,614,627,0.9920886075949367,443,390,171,238,614,628,0.9715189873417721,0.9936708860759493,0.022151898734177222,4,458857
518044,Shortbread Lofts,Shortbread Lofts,Shortbread Lofts,296.29411764705884,1133.716577540107,374,0,374,1226.5641711229946,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,347,21,27,373,374,1,352,347,21,27,373,374,0.9973262032085561,1,0.002673796791443861,0,458735
952515,SOVA,SOVA,SOVA,394.1078431372549,1027.0853658536585,816,0,816,1004.2865853658536,806,0,1,0,0,0,1,0.0012254901960784314,0,1,0,0,0,1,0.0012254901960784314,0,6,0,0,0,6,0.007352941176470588,432,454,388,359,820,813,0.9963235294117647,432,461,388,359,820,820,1.0049019607843137,1.0049019607843137,0,-4,823515
518041,The Academy at Frisco,The Academy at Frisco,The Academy at Frisco,367.2203125,908.909375,640,0,640,904.259375,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0.003125,385,320,258,318,643,638,0.996875,385,322,258,318,643,640,1.0046875,1,-0.004687499999999956,0,578726
518042,The Academy on Charles,The Academy on Charles,The Academy on Charles,315.0701219512195,1477.917933130699,328,0,328,1467.0881458966564,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.003048780487804878,216,204,113,124,329,328,1,216,205,113,124,329,329,1.0030487804878048,1.0030487804878048,0,-1,482672
833617,The Dean Campustown,The Dean Campustown,The Dean Campustown,178.5625,1471.6641452344932,672,0,672,1194.5113464447807,647,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001488095238095238,0,0,0,0,0,0,0,453,393,213,268,666,661,0.9836309523809523,453,393,213,268,666,661,0.9910714285714286,0.9836309523809523,-0.007440476190476275,11,789572
1197887,The Dean Reno,The Dean Reno,The Dean Reno,306.01552393272965,910.2279069767442,773,0,773,992.939534883721,620,0,6,0,0,0,6,0.007761966364812419,0,4,0,0,0,4,0.00517464424320828,1,1,0,0,1,1,0.00129366106080207,527,421,0,217,527,638,0.8253557567917206,528,428,0,217,528,645,0.6830530401034929,0.8344113842173351,0.1513583441138422,128,640446
518046,The Rise at Northgate,The Rise at Northgate,The Rise at Northgate,376,1053.3118279569892,465,0,465,1134.5591397849462,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,201,278,264,468,465,1,190,201,278,264,468,465,1.0064516129032257,1,-0.006451612903225712,0,527570
1143679,Torre,Torre,Torre,331.24014336917566,1375.0964566929133,558,0,558,1362.3897637795276,501,0,1,0,0,0,1,0.0017921146953405018,0,1,0,0,0,1,0.0017921146953405018,2,0,0,0,2,0,0,364,362,148,145,512,507,0.9086021505376344,366,363,148,145,514,508,0.921146953405018,0.910394265232975,-0.010752688172043001,50,692094
1311849,Venue at North Campus,Venue at North Campus,Venue at North Campus,104.07356948228883,29.681114551083592,734,0,734,1018.7886996904025,627,0,1,0,0,0,1,0.0013623978201634877,0,3,0,0,0,3,0.004087193460490463,0,2,0,0,0,2,0.0027247956403269754,457,351,266,292,723,643,0.8760217983651226,457,354,266,292,723,646,0.9850136239782016,0.8801089918256131,-0.1049046321525885,88,658137.5
