uid,account_uid,app_uid,user_uid,is_admin,is_invite_accepted,created_by,created_at,modified_by,modified_at
6ef3fb21-62a6-46f3-871e-687817fca7db,e06a8868-a188-4fba-897c-1dc6c807f048,f3c20abd-3565-419b-abd1-3eaeac328b27,000bb29d-e521-48bc-b210-490415d4ed37,TRUE,TRUE,000bb29d-e521-48bc-b210-490415d4ed37,2024-05-28T23:20:42Z,e06a8868-a188-4fba-897c-1dc6c807f048,2024-05-28T23:33:53Z
3190bfdc-a993-458d-8937-21d9163d9904,e06a8868-a188-4fba-897c-1dc6c807f048,dae8a76f-7acd-4a5c-a4aa-24abb1fad334,000bb29d-e521-48bc-b210-490415d4ed37,TRUE,TRUE,000bb29d-e521-48bc-b210-490415d4ed37,2024-06-03T17:51:11Z,000bb29d-e521-48bc-b210-490415d4ed37,2024-06-03T18:03:48Z
95ee22e9-b60d-42c1-9b1f-76df77eb5094,e06a8868-a188-4fba-897c-1dc6c807f048,dae8a76f-7acd-4a5c-a4aa-24abb1fad334,d7c0137d-2c55-4a1d-ba0d-ebf03ad6a864,FALSE,TRUE,000bb29d-e521-48bc-b210-490415d4ed37,2024-06-03T20:26:33Z,000bb29d-e521-48bc-b210-490415d4ed37,2024-06-03T20:26:33Z
54d67171-9cf1-4828-87d4-f1d5aa8522f2,e06a8868-a188-4fba-897c-1dc6c807f048,dae8a76f-7acd-4a5c-a4aa-24abb1fad334,5d396b01-5fe3-4cb5-a58e-bc59f4435e9d,TRUE,TRUE,000bb29d-e521-48bc-b210-490415d4ed37,2024-06-12T01:13:00Z,000bb29d-e521-48bc-b210-490415d4ed37,2024-06-12T01:13:00Z
5e516d61-1cee-4502-856d-8993f72c8ab0,e06a8868-a188-4fba-897c-1dc6c807f048,774efc03-259e-4e57-9a2c-2b5db104d4e5,000bb29d-e521-48bc-b210-490415d4ed37,TRUE,TRUE,000bb29d-e521-48bc-b210-490415d4ed37,2024-09-05T16:23:14Z,000bb29d-e521-48bc-b210-490415d4ed37,2024-09-05T16:23:14Z
4907c1c5-4733-464d-a955-2688a11bd997,e06a8868-a188-4fba-897c-1dc6c807f048,f3c20abd-3565-419b-abd1-3eaeac328b27,5d396b01-5fe3-4cb5-a58e-bc59f4435e9d,FALSE,TRUE,5d396b01-5fe3-4cb5-a58e-bc59f4435e9d,2024-09-08T23:01:44Z,5d396b01-5fe3-4cb5-a58e-bc59f4435e9d,2024-09-08T23:01:44Z
f847185b-2069-415d-bc33-38c27488f9a1,0898a841-0d03-43fb-9e46-45b0a97bb2fe,4e3d6b43-59d5-437a-8102-7e1bc16c67b4,ab53a336-e0bc-47e5-b459-9e73cc71545e,TRUE,FALSE,5d396b01-5fe3-4cb5-a58e-bc59f4435e9d,2024-09-08T23:02:23Z,5d396b01-5fe3-4cb5-a58e-bc59f4435e9d,2024-09-08T23:02:23Z
85ea4a9c-0a79-4ece-b237-400582b84b0c,e06a8868-a188-4fba-897c-1dc6c807f048,93c260ff-9ac4-45ab-a2c0-feb8b96c0fc3,771915ed-df41-4fff-97d3-3ab9aadaefb7,FALSE,TRUE,09e5fa90-4386-4caf-b6a5-aeda1f480376,2024-10-18T18:56:14Z,000bb29d-e521-48bc-b210-490415d4ed37,2024-10-18T19:26:08Z
aa8b8fde-ed60-4a3f-921e-97d8f7e54ec3,e06a8868-a188-4fba-897c-1dc6c807f048,93c260ff-9ac4-45ab-a2c0-feb8b96c0fc3,04ad92a2-6b44-46e4-abce-0b86ec4de352,TRUE,TRUE,000bb29d-e521-48bc-b210-490415d4ed37,2024-10-18T16:49:58Z,000bb29d-e521-48bc-b210-490415d4ed37,2024-10-18T16:49:58Z
69933995-35b2-4583-8880-796eaa8adb3d,e06a8868-a188-4fba-897c-1dc6c807f048,93c260ff-9ac4-45ab-a2c0-feb8b96c0fc3,000bb29d-e521-48bc-b210-490415d4ed37,TRUE,TRUE,000bb29d-e521-48bc-b210-490415d4ed37,2024-10-17T19:55:18Z,000bb29d-e521-48bc-b210-490415d4ed37,2024-10-17T19:55:18Z
