key,value,property_id,property_name,leasing_week
5 Month Term Available,No,Boylston,1330 Boylston,2024-12-01
5 Month Term Premium,0,Boylston,1330 Boylston,2024-12-01
5 Month Term Quantity,NA,Boylston,1330 Boylston,2024-12-01
10 Month Term Available,No,Boylston,1330 Boylston,2024-12-01
10 Month Term Premium,0,Boylston,1330 Boylston,2024-12-01
10 Month Term Quantity,NA,Boylston,1330 Boylston,2024-12-01
