fees,amount,frequency,property_id,property_name,leasing_week
Application Fee,250,Monthly,Boylston,1330 Boylston,2024-12-01
Administration Fee,0,Monthly,Boylston,1330 Boylston,2024-12-01
Utility Set Up Fee,0,Monthly,Boylston,1330 Boylston,2024-12-01
Utility Deposit,0,Monthly,Boylston,1330 Boylston,2024-12-01
Amenity Fee,0,Monthly,Boylston,1330 Boylston,2024-12-01
Common Area Fee,0,Monthly,Boylston,1330 Boylston,2024-12-01
Smart Home Fee,0,Monthly,Boylston,1330 Boylston,2024-12-01
Restoration Fee,0,Monthly,Boylston,1330 Boylston,2024-12-01
Security Deposit,0,Monthly,Boylston,1330 Boylston,2024-12-01
Pet Fee,0,Monthly,Boylston,1330 Boylston,2024-12-01
Pet Deposit,0,Monthly,Boylston,1330 Boylston,2024-12-01
