unit_type,count,sf_per_bed,available,market_rent_per_bed,market_rent_per_sf,concessions_gift_card,concessions_one_time_rent,concessions_monthly_rent,effective_rent_per_bed,effective_rent_per_sf,bundled_rent_per_bed,bundled_rent_per_sf,property_id,property_name,leasing_week
Studio,36,542.2222222222222,Yes,3153.777777777778,5.8782207768418395,0,0,0,3153.777777777778,5.8782207768418395,3153.777777777778,5.8782207768418395,bower,Bower,2024-12-01
1 Bedroom,111,736.900900900901,Yes,3620.4504504504503,4.965311416708769,0,0,0,3620.4504504504503,4.965311416708769,3620.4504504504503,4.965311416708769,bower,Bower,2024-12-01
2 Bedroom,134,1189.4925373134329,NA,5207.962686567164,4.384350879543294,0,0,0,5207.962686567164,4.384350879543294,5207.962686567164,4.384350879543294,bower,Bower,2024-12-01
3 Bedroom,0,0,NA,0,0,0,0,0,0,0,0,0,bower,Bower,2024-12-01
4 Bedroom,0,0,NA,0,0,0,0,0,0,0,0,0,bower,Bower,2024-12-01
5 Bedroom,0,0,NA,0,0,0,0,0,0,0,0,0,bower,Bower,2024-12-01
6 Bedroom,0,0,NA,0,0,0,0,0,0,0,0,0,bower,Bower,2024-12-01
Property Average,281,927.7864768683274,Yes,4317.697508896797,4.805226096369327,0,0,0,4317.697508896797,4.805226096369327,4317.697508896797,4.805226096369327,bower,Bower,2024-12-01
