property_id,property_name,unit_type,average_square_footage,average_advertised_rent,total_scheduled_rent,units,excluded_unit_count,rentable_unit_count,occupied_count,started_new_count,started_renewal_count,started_count,started_percent,partially_completed_new_count,partially_completed_renewal_count,partially_completed_count,partially_completed_percent,completed_new_count,completed_renewal_count,completed_count,completed_percent,approved_new_count,approved_renewal_count,approved_count,approved_percent,preleased_new_count,preleased_renewal_count,preleased_count,preleased_percent,variance,available_count,number_of_bedrooms,number_of_bathrooms
739076,1008 S. 4th,B1,316,1000,8055,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,1,5,3,8,1,0.125,0,NA,NA
739076,1008 S. 4th,B2,315,1000,8200,8,0,8,8,0,0,0,0,1,0,1,0.125,0,0,0,0,7,0,7,0.875,8,0,8,1,0.25,0,NA,NA
739076,1008 S. 4th,B3,377,1161.3636363636363,12805,10,0,10,9,0,0,0,0,1,0,1,0.1,0,0,0,0,5,5,10,1,6,5,11,1.1,0.10000000000000009,0,NA,NA
739076,1008 S. 4th,B4,462,1140,2375,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,0,2,1,0,0,NA,NA
739076,1008 S. 4th,B5,464,1150,2395,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,0,2,1,0,0,NA,NA
739076,1008 S. 4th,C1,328,937.5,11285,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12,1,3,9,12,1,0,0,NA,NA
739076,1008 S. 4th,D1,276,858.3333333333334,13045,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,10,5,15,0.9375,10,5,15,0.9375,-0.0625,1,NA,NA
739076,1008 S. 4th,D1 Balcony,276,880,14000,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,12,4,16,1,12,4,16,1,0.125,0,NA,NA
739076,1008 S. 4th,D2,306,899.2708333333334,44495,48,0,48,48,0,0,0,0,1,0,1,0.020833333333333332,1,0,1,0.020833333333333332,25,21,46,0.9583333333333334,27,21,48,1,0.04166666666666663,0,NA,NA
739076,1008 S. 4th,D3 Balcony,345,983.75,12075,12,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,1,12,0,12,1,0.16666666666666663,0,NA,NA
739076,1008 S. 4th,M1 Murphy,321,1210,4835,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,2,2,4,1,0.25,0,NA,NA
739076,1008 S. 4th,M1 Murphy Balcony,319,1244.090909090909,13710,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11,0.9166666666666666,7,4,11,0.9166666666666666,-0.08333333333333337,1,NA,NA
739076,1008 S. 4th,S1,432,1306.25,5415,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,1,3,1,4,1,0,0,NA,NA
739076,1008 S. 4th,S2,406,1021.25,5520,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,1,3,1,4,1,0,0,NA,NA
739085,1047 Commonwealth Avenue,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
739085,1047 Commonwealth Avenue,S1,308.16,2895,14250,25,0,25,24,0,1,1,0.04,0,0,0,0,0,0,0,0,0,4,4,0.16,0,5,5,0.2,-0.32,20,NA,1
739085,1047 Commonwealth Avenue,S2,317.5,2950,5830,12,0,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.16666666666666666,0,2,2,0.16666666666666666,-0.16666666666666666,10,NA,1
739085,1047 Commonwealth Avenue,S3,342.5882352941176,3065,27580,51,0,51,46,0,2,2,0.0392156862745098,0,0,0,0,0,0,0,0,0,7,7,0.13725490196078433,0,9,9,0.17647058823529413,-0.05882352941176469,42,NA,1
739085,1047 Commonwealth Avenue,S4,323.25,0,0,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.375,8,NA,1
739085,1047 Commonwealth Avenue,S5,346.4,3150,3100,10,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.1,0,1,1,0.1,-0.19999999999999998,9,NA,1
739085,1047 Commonwealth Avenue,S6,360.55172413793105,3350,13300,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.13793103448275862,0,4,4,0.13793103448275862,-0.13793103448275862,25,NA,1
739085,1047 Commonwealth Avenue,S7,442,0,0,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,4,NA,1
739085,1047 Commonwealth Avenue,S8,348.8181818181818,3350,3325,11,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.09090909090909091,0,1,1,0.09090909090909091,-0.09090909090909091,10,NA,1
739085,1047 Commonwealth Avenue,S9,402.8,3950,3950,5,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2,0,1,1,0.2,0.2,4,NA,1
739085,1047 Commonwealth Avenue,S10,528,0,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,4,NA,1
739085,1047 Commonwealth Avenue,S11,348.9166666666667,1201.3333333333333,8722,24,0,24,23,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,0.375,4,5,9,0.375,0.08333333333333331,15,NA,1
739079,307 E. Daniel,D1,385,989.7297297297297,38275,40,0,40,40,0,1,1,0.025,1,0,1,0.025,0,0,0,0,25,10,35,0.875,26,11,37,0.925,-0.02499999999999991,3,4,4
739080,501 S. 6th,B1,573,955,1980,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,0,2,1,0,0,NA,NA
739080,501 S. 6th,B2,590,975,1940,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,2,1,0,0,NA,NA
739080,501 S. 6th,C1,444.75,987.5,9935,12,0,12,12,0,0,0,0,1,0,1,0.08333333333333333,0,0,0,0,8,1,9,0.75,9,1,10,0.8333333333333334,0,2,NA,NA
739080,501 S. 6th,C2,448,1017.5,12420,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,1,12,0,12,1,0,0,NA,NA
739080,501 S. 6th,D1,434,748.75,12155,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,13,3,16,1,13,3,16,1,0,0,NA,NA
739080,501 S. 6th,D2,366,776.5625,12555,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,10,6,16,1,10,6,16,1,0.0625,0,NA,NA
739080,501 S. 6th,D3 Townhome,483,875,3450,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,4,4,1,0,0,4,3
739080,501 S. 6th,E1 Townhome,452,868.75,17445,20,0,20,20,0,0,0,0,1,0,1,0.05,0,0,0,0,19,0,19,0.95,20,0,20,1,0.09999999999999998,0,NA,NA
739080,501 S. 6th,E2 Townhome,493,884.4117647058823,15315,20,0,20,20,0,0,0,0,1,0,1,0.05,0,0,0,0,14,2,16,0.8,15,2,17,0.85,0,3,NA,NA
739084,908 S. 1st,A1,526.125,1210.4166666666667,17880,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12,0.75,5,7,12,0.75,-0.1875,4,NA,NA
739084,908 S. 1st,B1,307,930,7535,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,1,8,0,8,1,0,0,NA,NA
739084,908 S. 1st,B2,315,955,4905,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0.3125,3,2,5,0.3125,-0.6875,11,NA,NA
