property_id,property_name,leasing_week_start,floorplan_type,floorplan_description,total_beds,sf_per_bed,number_of_beds,number_of_baths,available,market_rent_per_bed,market_rent_per_sf,concessions_gift_card,concessions_one_time_rent,concessions_monthly_rent,effective_rent_per_bed,effective_rent_per_sf,additional_monthly_expenses_furniture,additional_monthly_expenses_tv,additional_monthly_expenses_electricity_gas,additional_monthly_expenses_water,additional_monthly_expenses_cable_internet,additional_monthly_expenses_trash,additional_monthly_expenses_parking,additional_monthly_expenses_total,bundled_rent_per_bed,bundled_rent_per_sf
bower,Bower,2024-12-01,1 Bedroom,B2,11,642,1,1,TRUE,3431,5.344236760124611,0,0,0,3431,5.344236760124611,0,0,0,0,0,0,0,0,3431,5.344236760124611
bower,Bower,2024-12-01,1 Bedroom,f1,12,671,1,1,TRUE,3483,5.1907600596125185,0,0,0,3483,5.1907600596125185,0,0,0,0,0,0,0,0,3483,5.1907600596125185
vanness,Van Ness,2024-12-01,Studio,S2,6,585,1,1,FALSE,3803,6.500854700854701,0,0,0,3803,6.500854700854701,0,0,0,0,0,0,0,0,3803,6.500854700854701
vanness,Van Ness,2024-12-01,Studio,S3a,6,488,1,1,TRUE,3753,7.690573770491803,0,0,0,3753,7.690573770491803,0,0,0,0,0,0,0,0,3753,7.690573770491803
vanness,Van Ness,2024-12-01,Studio,S3b,5,535,1,1,FALSE,3813,7.1271028037383175,0,0,0,3813,7.1271028037383175,0,0,0,0,0,0,0,0,3813,7.1271028037383175
vanness,Van Ness,2024-12-01,1 Bedroom,A1a,12,695,1,1,FALSE,3955,5.690647482014389,0,0,0,3955,5.690647482014389,0,0,0,0,0,0,0,0,3955,5.690647482014389
vanness,Van Ness,2024-12-01,1 Bedroom,A1b,12,703,1,1,FALSE,4014,5.709815078236131,0,0,0,4014,5.709815078236131,0,0,0,0,0,0,0,0,4014,5.709815078236131
vanness,Van Ness,2024-12-01,1 Bedroom,A1c,12,734,1,1,TRUE,4075,5.551771117166212,0,0,0,4075,5.551771117166212,0,0,0,0,0,0,0,0,4075,5.551771117166212
vanness,Van Ness,2024-12-01,1 Bedroom,A1g,12,785,1,1,FALSE,4205,5.356687898089172,0,0,0,4205,5.356687898089172,0,0,0,0,0,0,0,0,4205,5.356687898089172
vanness,Van Ness,2024-12-01,1 Bedroom,A2b,14,725,1,1,TRUE,4305,5.937931034482759,0,0,0,4305,5.937931034482759,0,0,0,0,0,0,0,0,4305,5.937931034482759
vanness,Van Ness,2024-12-01,1 Bedroom,A3,14,710,1,1,FALSE,4235,5.964788732394366,0,0,0,4235,5.964788732394366,0,0,0,0,0,0,0,0,4235,5.964788732394366
vanness,Van Ness,2024-12-01,2 Bedroom,B1a,38,1000,2,2,TRUE,6302,6.302,0,0,0,6302,6.302,0,0,0,0,0,0,0,0,6302,6.302
vanness,Van Ness,2024-12-01,2 Bedroom,B2a,18,1192,2,2,TRUE,6597,5.534395973154362,0,0,0,6597,5.534395973154362,0,0,0,0,0,0,0,0,6597,5.534395973154362
