unit_type,count,sf_per_bed,available,market_rent_per_bed,market_rent_per_sf,concessions_gift_card,concessions_one_time_rent,concessions_monthly_rent,effective_rent_per_bed,effective_rent_per_sf,bundled_rent_per_bed,bundled_rent_per_sf,property_id,property_name,leasing_week
Studio,183,347.43715846994536,Yes,2571.5628415300544,7.42342690154566,0,0,0,2571.5628415300544,7.42342690154566,2571.5628415300544,7.42342690154566,739085,1047 Commonwealth Avenue,2024-12-01
1 Bedroom,0,0,NA,0,0,0,0,0,0,0,0,0,739085,1047 Commonwealth Avenue,2024-12-01
2 Bedroom,0,0,NA,0,0,0,0,0,0,0,0,0,739085,1047 Commonwealth Avenue,2024-12-01
3 Bedroom,0,0,NA,0,0,0,0,0,0,0,0,0,739085,1047 Commonwealth Avenue,2024-12-01
4 Bedroom,0,0,NA,0,0,0,0,0,0,0,0,0,739085,1047 Commonwealth Avenue,2024-12-01
5 Bedroom,0,0,NA,0,0,0,0,0,0,0,0,0,739085,1047 Commonwealth Avenue,2024-12-01
6 Bedroom,0,0,NA,0,0,0,0,0,0,0,0,0,739085,1047 Commonwealth Avenue,2024-12-01
Property Average,183,347.43715846994536,Yes,2571.5628415300544,7.42342690154566,0,0,0,2571.5628415300544,7.42342690154566,2571.5628415300544,7.42342690154566,739085,1047 Commonwealth Avenue,2024-12-01
