day,hours,property_id,property_name,leasing_week
Monday,9:00 – 6:00,739085,1047 Commonwealth Avenue,2024-12-01
Tuesday,9:00 – 6:00,739085,1047 Commonwealth Avenue,2024-12-01
Wednesday,9:00 – 6:00,739085,1047 Commonwealth Avenue,2024-12-01
Thursday,9:00 – 6:00,739085,1047 Commonwealth Avenue,2024-12-01
Friday,9:00 – 6:00,739085,1047 Commonwealth Avenue,2024-12-01
Saturday,10:00 – 5:00,739085,1047 Commonwealth Avenue,2024-12-01
Sunday,9:00 – 5:00,739085,1047 Commonwealth Avenue,2024-12-01
