utility,included,amount,per_unit_bed,property_id,property_name,leasing_week
Cable/Satellite,No,0,Per Bed,739085,1047 Commonwealth Avenue,2024-12-01
Internet,Yes,0,Per Bed,739085,1047 Commonwealth Avenue,2024-12-01
Trash Service,Yes,0,Per Bed,739085,1047 Commonwealth Avenue,2024-12-01
Valet Trash,No,0,Per Bed,739085,1047 Commonwealth Avenue,2024-12-01
Recycling,Yes,0,Per Bed,739085,1047 Commonwealth Avenue,2024-12-01
