unit_type,count,sf_per_bed,available,market_rent_per_bed,market_rent_per_sf,concessions_gift_card,concessions_one_time_rent,concessions_monthly_rent,effective_rent_per_bed,effective_rent_per_sf,bundled_rent_per_bed,bundled_rent_per_sf,property_id,property_name,leasing_week
Studio,17,536.0588235294117,Yes,3788.294117647059,7.104946167457095,0,0,0,3788.294117647059,7.104946167457095,3788.294117647059,7.104946167457095,vanness,Van Ness,2024-12-01
1 Bedroom,76,724.921052631579,Yes,4138.78947368421,5.715067574241455,0,0,0,4138.78947368421,5.715067574241455,4138.78947368421,5.715067574241455,vanness,Van Ness,2024-12-01
2 Bedroom,72,1090.6666666666665,Yes,6397.972222222221,5.903166853094705,0,0,0,6397.972222222221,5.903166853094705,6397.972222222221,5.903166853094705,vanness,Van Ness,2024-12-01
3 Bedroom,0,0,NA,0,0,0,0,0,0,0,0,0,vanness,Van Ness,2024-12-01
4 Bedroom,0,0,NA,0,0,0,0,0,0,0,0,0,vanness,Van Ness,2024-12-01
5 Bedroom,0,0,NA,0,0,0,0,0,0,0,0,0,vanness,Van Ness,2024-12-01
6 Bedroom,0,0,NA,0,0,0,0,0,0,0,0,0,vanness,Van Ness,2024-12-01
Property Average,165,865.060606060606,Yes,5088.503030303029,5.940346872193575,0,0,0,5088.503030303029,5.940346872193575,5088.503030303029,5.940346872193575,vanness,Van Ness,2024-12-01
